gene_symbol	proteomics_architecture_class	flu_logFC	flu_FDR	rsv6884_logFC	rsv6884_FDR	rsv10558_logFC	rsv10558_FDR	flu_vs_rsv_logFC	flu_vs_rsv_FDR	iav_screen_p	iav_rank	iav_percentile	iav_validation_p	iav_combined_p	iav_combined_fdr	iav_multiple_sgrna_support	iav_primary_hit	rsv_viability_pos_rank	rsv_viability_pos_p	rsv_viability_pos_fdr	rsv_viability_pos_lfc	rsv_viability_neg_rank	rsv_viability_neg_p	rsv_viability_neg_fdr	rsv_viability_neg_lfc	rsv_viability_pos_percentile	rsv_viability_neg_percentile	rsv_early_pos_rank	rsv_early_pos_p	rsv_early_pos_fdr	rsv_early_pos_lfc	rsv_early_neg_rank	rsv_early_neg_p	rsv_early_neg_fdr	rsv_early_neg_lfc	rsv_early_pos_percentile	rsv_early_neg_percentile	iav_top1pct	iav_top5pct	iav_top10pct	rsv_viability_pos_top1pct	rsv_viability_pos_top5pct	rsv_viability_pos_top10pct	rsv_viability_neg_top1pct	rsv_viability_neg_top5pct	rsv_viability_neg_top10pct	rsv_early_pos_top1pct	rsv_early_pos_top5pct	rsv_early_pos_top10pct	rsv_early_neg_top1pct	rsv_early_neg_top5pct	rsv_early_neg_top10pct
CASP1	shared_core	0.885506224699283	7.28724890998191e-05	0.747772998237568	5.41308136093132e-08	0.961930109207035	0.0136861389834591	0.137733226461714	0.600529285821908	0.77160599	7848.0	0.42911039422603753				False	False	14457.0	0.70064	0.999999	-2.44e-07	1194.0	0.050237	0.854282	-2.44e-07	0.6911933448078026	0.05708548479632817	5110.0	0.24747	0.999997	4.14e-06	11011.0	0.54275	0.999999	4.14e-06	0.24432225675352617	0.5264642601004064	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
CASP5	shared_core	1.4550712482231	0.0018239633889362	1.06251386791279	0.0001546214372569	1.40800540011067	0.0129975930762191	0.392557380310314	0.429878128691812	1.0	12890.0	0.7047952321067308				False	False	6846.0	0.33419	0.999999	-2.2e-06	1450.0	0.061651	0.862313	-2.2e-06	0.3273092369477912	0.06932491872250908	3345.0	0.16215	0.999997	-5.8e-07	8918.0	0.43472	0.999999	-5.8e-07	0.15993306239541	0.4263925412383457	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
CCR1	shared_core	1.43277034362759	6.96882160837009e-06	0.947776309847298	1.71089801515898e-06	1.09087394388554	0.0375505671020135	0.484994033780296	0.119265474209152	1.0	12989.0	0.710208321942151				False	False	13773.0	0.6662	0.999999	-3.19e-06	12326.0	0.60247	0.999988	-3.19e-06	0.658491107286288	0.5893096194301014	11791.0	0.57179	0.999997	-2.52e-06	3315.0	0.14848	0.922361	-2.52e-06	0.5637580683719818	0.15849868515419555	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
CCR2	RSV_amplified	0.444487498827293	0.0457525449381485	0.862129525075177	1.48019054974782e-11	1.13148190007401	0.0136861389834591	-0.417642026247885	0.0229414549710061	0.6183202	4428.0	0.24211274536606703				False	False	4359.0	0.21302	0.999999	-3.96e-06	10816.0	0.52432	0.999988	-3.96e-06	0.20840504876649454	0.5171160833811437	6291.0	0.30597	0.999997	1.18e-07	12531.0	0.62197	0.999999	1.18e-07	0.30078890748266796	0.5991393736552714	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
CCR3	shared_core	-1.16047049799951	0.003075463856505	-0.606081864789935	0.0125363416780168	-1.5158278810275	0.0054480077670989	-0.55438863320957	0.132375991245548	0.58872249	3942.0	0.21553939526491334				False	False	14531.0	0.70428	0.999999	-5.95e-06	10074.0	0.48909	0.999988	-5.95e-06	0.6947313061770893	0.48164084911072863	736.0	0.037614	0.999997	5.1e-06	19975.0	0.96648	0.999999	5.1e-06	0.035190054984460914	0.9550561797752809	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False
CD14	shared_core	0.5696134684994	0.0459812500027217	0.710157951431404	9.74829216225427e-06	1.08893291261098	0.0160623328855217	-0.140544482932004	0.658377113694241	0.35441206	1443.0	0.07889988517688228				False	False	9745.0	0.4716	0.999999	1.76e-06	15891.0	0.78045	0.999988	1.76e-06	0.46591126410403516	0.7597532989099254	2113.0	0.10378	0.999997	1.15e-05	9190.0	0.44803	0.999999	1.15e-05	0.10102797035620369	0.4393975615586899	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
CEACAM3	shared_core	1.07693145621881	0.0014042724205303	0.729992223458816	0.000347637824201	1.47723867154977	0.0005218389943146	0.346939232759996	0.314889788047196	1.0	13075.0	0.7149106020012029				False	False	18090.0	0.87405	0.999999	-3.6e-06	1250.0	0.052994	0.856515	-3.6e-06	0.8648881239242685	0.05976286096768024	3486.0	0.16858	0.999997	4.86e-07	11846.0	0.58613	0.999999	4.86e-07	0.16667463542911787	0.566387759980875	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
CHMP5	shared_core	0.923889038105039	0.0002726134614474	0.734390430810756	2.05574280057405e-06	0.845931000998017	0.0246399979957743	0.189498607294283	0.505131151011259	0.03254892	91.0	0.004975668434578162	0.897787429668	0.565895276033355	0.239033247538695	False	False	17029.0	0.82264	0.999999	-1.42e-05	12510.0	0.61284	0.999988	-1.42e-05	0.8141614075349015	0.5981067125645438	1079.0	0.053512	0.999997	2.03e-06	20622.0	0.98919	0.999999	2.03e-06	0.05158976810901267	0.9859909156108057	True	True	True	False	False	False	False	False	False	False	False	True	False	False	False
CKAP4	shared_core	0.695685345277191	0.0126117654060072	0.904748719670016	2.61290474111253e-08	1.15022366045542	0.0115895242484476	-0.209063374392825	0.477162154293029	0.80838233	8998.0	0.49198972059708024	0.945958791008			False	False	7354.0	0.35921	0.999999	-1.55e-07	10996.0	0.53314	0.999988	-1.55e-07	0.35159686364505643	0.5257219353604896	17463.0	0.83987	0.999997	-5.59e-09	10771.0	0.53024	0.999999	-5.59e-09	0.8349509921109252	0.5149892421706909	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
CLEC4D	shared_core	1.23481457830441	0.0034154094151705	1.58525331231971	3.83054555812636e-10	1.83188776876979	0.0129853638017601	-0.350438734015294	0.432202973172863	0.83846572	10070.0	0.5506041883099131				False	False	15231.0	0.73757	0.999999	-7.91e-06	2054.0	0.08982	0.894909	-7.91e-06	0.7281985083189902	0.09820233314209217	830.0	0.042022	0.999997	2.77e-06	18121.0	0.88875	0.999999	2.77e-06	0.039684437006932825	0.8664116662682285	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False
CNIH4	shared_core	0.768918020166668	0.0003814296367577	0.902475539260914	1.7147750657281e-11	0.931913116914843	0.0062193283123586	-0.133557519094246	0.596328812259486	1.0	13235.0	0.7236590300180437	0.620630400926			False	False	4083.0	0.19979	0.999999	1.27e-05	18201.0	0.88718	0.999988	1.27e-05	0.19520940906483075	0.8701950659781985	1059.0	0.052733	0.999997	-5.54e-06	14179.0	0.70332	0.999999	-5.54e-06	0.050633516614869714	0.6779344967726512	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
