screen	TF	evaluable_targets_n	observed_mean_normalized_rank	observed_median_normalized_rank	null_mean_normalized_rank	rank_enrichment_ratio	empirical_p_one_sided	fraction_top_1pct	fraction_top_5pct	fraction_top_10pct	n_permutations	FDR_within_screen
RSV_P01_viability_POS	IRF1	31	0.48536696710035226	0.5215146299483648	0.50050871550719	1.031196495503797	0.38476152384761525	0.0	0.06451612903225806	0.1935483870967742	10000	0.9900009999000099
RSV_P01_viability_POS	IRF2	12	0.5757394657997067	0.5581851214381335	0.4993112107158794	0.8672520130652016	0.8155184481551845	0.0	0.0	0.0	10000	0.9900009999000099
RSV_P01_viability_POS	IRF3	15	0.617485816280997	0.692962325492446	0.49938856282271943	0.8087449940639034	0.9421057894210579	0.06666666666666667	0.13333333333333333	0.13333333333333333	10000	0.9900009999000099
RSV_P01_viability_POS	IRF8	15	0.4845030917320074	0.4629948364888124	0.499943461146172	1.031868464159781	0.4216578342165783	0.0	0.0	0.13333333333333333	10000	0.9900009999000099
RSV_P01_viability_POS	JUN	80	0.5156411359724613	0.5108051252629566	0.5004199290017212	0.9704810072182584	0.6804319568043196	0.0	0.0	0.0625	10000	0.9900009999000099
RSV_P01_viability_POS	NFATC1	19	0.6517926341959316	0.6935838592465099	0.4992695521434107	0.7659944681015345	0.99000099990001	0.0	0.0	0.0	10000	0.9900009999000099
RSV_P01_viability_POS	NFKB	102	0.509205355502308	0.5392761522279594	0.49998045177910516	0.9818837260379892	0.631036896310369	0.00980392156862745	0.049019607843137254	0.10784313725490197	10000	0.9900009999000099
RSV_P01_viability_POS	NFKB1	58	0.5808686305154939	0.6050870147255689	0.5005467018319584	0.8617210080491805	0.9832016798320168	0.0	0.034482758620689655	0.05172413793103448	10000	0.9900009999000099
RSV_P01_viability_POS	NR3C1	34	0.4611696084056112	0.4566360680818512	0.5001384074111572	1.0844999286494004	0.2176782321767823	0.029411764705882353	0.11764705882352941	0.20588235294117646	10000	0.9900009999000099
RSV_P01_viability_POS	PPARA	33	0.5283297692936249	0.6160833811436222	0.5001112474428739	0.9465891882479404	0.7105289471052895	0.0	0.06060606060606061	0.15151515151515152	10000	0.9900009999000099
RSV_P01_viability_POS	PPARG	43	0.5302149906380784	0.5665041116848346	0.49982706529328824	0.9426875401839915	0.7549245075492451	0.0	0.023255813953488372	0.046511627906976744	10000	0.9900009999000099
RSV_P01_viability_POS	REL	14	0.4347150506789061	0.4787483266398929	0.49839740321831544	1.1464921732982443	0.20717928207179281	0.07142857142857142	0.14285714285714285	0.2857142857142857	10000	0.9900009999000099
RSV_P01_viability_POS	RELA	72	0.5502001391810628	0.5944492254733218	0.49995999029185534	0.9086875023986968	0.9334066593340666	0.0	0.027777777777777776	0.09722222222222222	10000	0.9900009999000099
RSV_P01_viability_POS	SP1	181	0.5150916742476351	0.5371485943775101	0.5001719773331685	0.9710348707610952	0.7544245575442455	0.011049723756906077	0.027624309392265192	0.08839779005524862	10000	0.9900009999000099
RSV_P01_viability_POS	SP3	55	0.5598045863106105	0.5665041116848346	0.4997262778386273	0.8926798566122349	0.9398060193980602	0.0	0.05454545454545454	0.09090909090909091	10000	0.9900009999000099
RSV_P01_viability_POS	SPI1	60	0.5338815579779435	0.5427902084528591	0.499875166778224	0.9363034914925374	0.8188181181881812	0.016666666666666666	0.05	0.13333333333333333	10000	0.9900009999000099
RSV_P01_viability_POS	STAT1	54	0.5309792963742094	0.5070998278829604	0.5006795108122083	0.9429360320281731	0.7811218878112188	0.018518518518518517	0.05555555555555555	0.09259259259259259	10000	0.9900009999000099
RSV_P01_viability_POS	STAT2	11	0.49531459170013387	0.4730349971313827	0.49970246831481774	1.0088587671112672	0.48035196480351966	0.0	0.0	0.09090909090909091	10000	0.9900009999000099
